image_idx,DSC_metric,NSD_metric,modality
506,0.894196,0.741379,CT
507,0.984027,0.900339,CT
508,0.986121,0.877854,CT
509,0.989885,0.932086,CT
510,0.988495,0.941418,CT
511,0.984315,0.877754,CT
512,0.985231,0.935805,CT
513,0.989451,0.980784,CT
514,0.934435,0.806897,CT
515,0.94014,0.78125,CT
516,0.831847,0.756233,CT
517,0.989613,0.933616,CT
518,0.949794,0.583867,CT
519,0.992075,0.977258,CT
520,0.976518,0.912698,CT
521,0.9894,0.930805,CT
522,0.990269,0.971347,CT
523,0.729251,0.162739,CT
524,0.788572,0.175862,CT
525,0.917485,0.164384,CT
526,0.91495,0.306122,CT
527,0.914608,0.292459,CT
528,0.982112,0.916505,CT
529,0.990503,1.0,CT
530,0.983325,0.916447,CT
531,0.98819,1.0,CT
532,0.984406,0.892677,CT
533,0.990342,0.990342,CT
534,0.987408,0.931108,CT
535,0.988966,1.0,CT
536,0.989335,0.913846,CT
537,0.992093,0.958651,CT
538,0.980057,0.912536,CT
539,0.989888,0.965289,CT
540,0.985,0.925526,CT
541,0.990394,0.964981,CT
542,0.985534,0.927923,CT
543,0.987508,1.0,CT
544,0.975925,0.818972,CT
545,0.975982,0.735994,CT
546,0.974824,0.869117,CT
547,0.978365,0.981567,CT
548,0.974881,0.912766,CT
549,0.988008,0.942872,CT
550,0.985134,0.977574,CT
551,0.988384,0.902187,CT
552,0.983481,0.984021,CT
553,0.98887,0.921208,CT
554,0.960741,0.899782,CT
555,0.944345,0.802682,CT
556,0.876013,0.646091,CT
557,0.981726,0.974661,CT
558,0.887097,0.778559,CT
559,0.985855,0.936559,CT
560,0.77783,0.527586,CT
561,0.932884,0.265672,CT
562,0.622222,0.191395,CT
563,0.95104,0.340517,CT
564,0.991999,0.975392,CT
565,0.984731,0.902932,CT
566,0.987234,0.955882,CT
567,0.989913,0.950536,CT
568,0.916892,0.690644,CT
569,0.98061,0.916782,CT
570,0.98758,0.910082,CT
571,0.970854,0.772382,CT
572,0.983314,0.894438,CT
573,0.982467,0.922463,CT
574,0.800736,0.142795,CT
575,0.811106,0.590618,CT
576,0.981934,0.845123,CT
577,0.971592,0.900917,CT
578,0.98527,0.873507,CT
579,0.966848,0.843137,CT
